CODIGO;DESCRICAO;REFERECIA;COMPLEMENTO;VOLUME;CELULA;LINHA;CUSTO
33;117 PR POSTE C/TUBO AL P/2 LAMP INJ TER;117 PR C/TAG;PRETO;1;CELULA ( 5 );SOBERANA;383,76
34;117 BR POSTE C/TUBO AL P/2 LAMP INJ TER;117 BR C/TAG;BRANCO ;1;CELULA ( 5 );SOBERANA;249,4482
37;113 PR PENDENTE INJ EM TERMOPLASTICO ;113 PR ;PRETO;6;CELULA ( 4 );GREGA;34,9741
38;113 BR PENDENTE INJ EM TERMOPLASTICO ;113 BR;BRANCO;6;CELULA ( 4 );GREGA;37,884
39;114 PR ARANDELA INJ TERM C/SUPORTE INF ;114 PR;PRETO;6;CELULA ( 4 );GREGA;46,3144
40;114 BR ARANDELA INJ TERM C/SUPORTE INF ;114 BR;BRANCO ;6;CELULA ( 4 );GREGA;35,6323
41;115 PR ARANDELA INJ TERM C/ SUPORTE SUP;115 PR;PRETO;6;CELULA ( 4 );GREGA;55,4329
42;115 BR ARANDELA INJ TERM C/ SUPORTE SUP ;115 BR;BRANCO ;6;CELULA ( 4 );GREGA;55,4329
43;120 PR POSTE C/TUBO AL P/1 LAMP INJ TER;120 PR C/TAG;PRETO ;1;CELULA ( 5 );GREGA;51,11
44;120 BR POSTE C/TUBO AL P/1 LAMP INJ TER;120 BR C/TAG;BRANCO ;1;CELULA ( 5 );GREGA;51,11
47;122 PR POSTE C/TUBO AL P/2 LAMP INJ TER;122 PR C/TAG;PRETO;1;CELULA ( 5 );GREGA;225,5188
48;122 BR POSTE C/TUBO AL P/2 LAMP INJ TER;122 BR C/TAG;BRANCO ;1;CELULA ( 5 );GREGA;106,19
101;260/1 PR/CR SPOT EM AL P/1 LAMP PINTADO ;260/1 PR/CR;PRETO/CROMADO;8;CELULA ( 1 );RETRÔ;29,1713
102;260/1 BR/CR SPOT EM AL P/1 LAMP PINTADO ;260/1 BR/CR;BRANCO/CROMADO;8;CELULA ( 1 );RETRÔ;29,1706
106;260/2 PR/CR SPOT EM AL P/2 LAMP PINTADO ;260/2 PR/CR;PRETO/CROMADO;6;CELULA ( 1 );RETRÔ;29,8317
107;260/2 BR/CR SPOT EM AL P/2 LAMP PINTADO ;260/2 BR/CR;BRANCO/CROMADO;6;CELULA ( 1 );RETRÔ;70,2894
111;260/3 PR/CR SPOT EM AL P/3 LAMP PINTADO;260/3 PR/CR;PRETO/CROMADO;4;CELULA ( 1 );RETRÔ;0
112;260/3 BR/CR SPOT EM AL P/ 3 LAMP PINTADO;260/3 BR/CR;BRANCO/CROMADO;4;CELULA ( 1 );RETRÔ;57,2
116;261/1 PR/CR SPOT EM AL P/1 LAMP PINTADO ;261/1 PR/CR;PRETO/CROMADO;8;CELULA ( 1 );LUMEN;19,04
117;261/1 BR/CR SPOT EM AL P/1 LAMP PINTADO ;261/1 BR/CR;BRANCO/CROMADO;8;CELULA ( 1 );LUMEN;29,1713
121;261/2 PR/CR SPOT EM AL P/2 LAMP PINTADO ;261/2 PR/CR;PRETO/CROMADO;6;CELULA ( 1 );LUMEN;19,89
122;261/2 BR/CR SPOT EM AL P/2 LAMP PINTADO ;261/2 BR/CR;BRANCO/CROMADO;6;CELULA ( 1 );LUMEN;48,3025
125;261/2 ESC/CR SPOT EM AL P/2 LAMP PINTADO;261/2 ESC/CR;ESCOVADO/CROMADO;6;CELULA ( 1 );LUMEN;41,668
126;261/3 PR/CR SPOT EM AL P/3 LAMP PINTADO ;261/3 PR/CR;PRETO/CROMADO;4;CELULA ( 1 );LUMEN;33,696
127;261/3 BR/CR SPOT EM AL P/3 LAMP PINTADO ;261/3 BR/CR;BRANCO/CROMADO;4;CELULA ( 1 );LUMEN;69,4564
131;262/1 PR/CR SPOT EM AL P/ 1 LAMP PINTADO;262/1 PR/CR;PRETO/CROMADO;8;CELULA ( 1 );STAR;12,435
132;262/1 BR/CR SPOT EM AL P/ 1 LAMP PINTADO;262/1 BR/CR;BRANCO/CROMADO;8;CELULA ( 1 );STAR;25,49
136;262/2 PR/CR SPOT EM AL P/2 LAMP PINTADO ;262/2 PR/CR;PRETO/CROMADO;6;CELULA ( 1 );STAR;27,4482
137;262/2 BR/CR SPOT EM AL P/2 LAMP PINTADO ;262/2 BR/CR;BRANCO/CROMADO;6;CELULA ( 1 );STAR;19,89
140;262/2 ESC/CR SPOT EM AL P/2 LAMP PINTADO;262/2 ESC/CR;ESCOVADO/CROMADO;6;CELULA ( 1 );STAR;33,26
141;262/3 PR/CR SPOT EM AL P/3 LAMP PINTADO ;262/3 PR/CR;PRETO/CROMADO;4;CELULA ( 1 );STAR;28,6
142;262/3 BR/CR SPOT EM AL P/3 LAMP PINTADO ;262/3 BR/CR;BRANCO/CROMADO;4;CELULA ( 1 );STAR;58,6138
195;060/1 A - AL/ PR ARANDELA AL S/ GLOBO ;060/1 A - AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;74,3688
196;060/1 A - AL/ BR ARANDELA AL S/ GLOBO ;060/1 A - AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
197;060/1 C - AL/ PR ARANDELA AL S/ GLOBO ;060/1 C - AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;30,969
198;060/1 C - AL/ BR ARANDELA AL S/ GLOBO ;060/1 C - AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
199;062/1 AL/ PR POSTE EM AL S/GLOBO ;062/1 AL/ PR;PRETO;1;CELULA ( 5 );GLOBAL;278,7025
200;062/1 AL/ BR POSTE EM AL S/GLOBO  ;062/1 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
201;064/2 AL/ PR POSTE AL S/GLOBO ;064/2 AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;339,65
202;064/2 AL/ BR POSTE AL S/GLOBO ;064/2 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
203;070/1 A - AL/ PR ARANDELA AL S/ GLOBO ;070/1 A - AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;105,3536
204;070/1 A - AL/ BR ARANDELA AL S/ GLOBO ;070/1 A - AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;57,2318
205;070/1 C - AL/ PR ARANDELA AL S/ GLOBO ;070/1 C - AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;42,8482
206;070/1 C - AL/ BR ARANDELA AL S/ GLOBO ;070/1 C - AL/ BR;BRANCO;1;CELULA ( 5 );GLOBAL;57,2418
211;074/1 AL/ PR POSTE AL S/ GLOBO ;074/1 AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;266,0106
212;074/1 AL/ BR POSTE AL S/ GLOBO ;074/1 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;266,0106
213;075/2 AL/ PR POSTE AL S/ GLOBO ;075/2 AL/ PR;PRETO;1;CELULA ( 5 );GLOBAL;284,43
214;075/2 AL/ BR POSTE AL S/ GLOBO;075/2 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;350,444
215;620/1 AL/ PR POSTE AL S/ GLOBO ;620/1 AL/ PR;PRETO ;1;CELULA ( 5 );GLOBAL;0
216;620/1 AL/ BR POSTE AL S/ GLOBO ;620/1 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;128,3484
217;640/2 AL/ PR POSTE AL S/ GLOBO ;640/2 AL/ PR;PRETO;1;CELULA ( 5 );GLOBAL;0
218;640/2 AL/ BR POSTE AL S/ GLOBO ;640/2 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
219;740/1 AL/ PR POSTE AL S/ GLOBO ;740/1 AL/ PR;PRETO;1;CELULA ( 5 );GLOBAL;0
220;740/1 AL/ BR POSTE AL S/ GLOBO ;740/1 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;209,8254
221;750/2 AL/ PR POSTE AL S/ GLOBO ;750/2 AL/ PR;PRETO;1;CELULA ( 5 );GLOBAL;0
222;750/2 AL/ BR POSTE AL S/ GLOBO ;750/2 AL/ BR;BRANCO ;1;CELULA ( 5 );GLOBAL;0
257;240 PR PROJETOR AL P/1 LAM PAR 20/30/38 ;240 PR;PRETO;12;CELULA ( 1 );SUMMER;10,27
258;240 BR PROJETOR AL P/1 LAM PAR 20/30/38 ;240 BR;BRANCO ;12;CELULA ( 1 );SUMMER;12,845
259;240 VD PROJETOR AL P/1 LAM PAR 20/30/38 ;240 VD;VERDE ;12;CELULA ( 1 );SUMMER;25,69
260;241 PR SPOT AL P/ 1 LAMP PAR 20/30/38 ;241 PR;PRETO;12;CELULA ( 1 );SUMMER;18,5889
261;241 BR SPOT AL P/ 1 LAMP PAR 20/30/38 ;241 BR;BRANCO ;12;CELULA ( 1 );SUMMER;21,4383
262;241 VD SPOT AL P/ 1 LAMP PAR 20/30/38 ;241 VD;VERDE ;12;CELULA ( 1 );SUMMER;25,69
266;243 PR PROJ INJ P/ 1 LAMP PAR 20/30/38;243 PR;PRETO;12;CELULA ( 1 );SUMMER;19,45
267;243 BR PROJ INJ P/ 1 LAMP PAR 20/30/38;243 BR;BRANCO ;12;CELULA ( 2 );SUMMER;24,13
268;243 VD PROJ INJ P/ 1 LAMP PAR 20/30/38 ;243 VD;VERDE ;12;CELULA ( 1 );SUMMER;21,4937
272;235 PR TARTARUGA INJ P/ 1 LAMP S/ GRADE ;235 PR;PRETO ;12;CELULA ( 2 );MARINA;21,4558
273;235 BR TARTARUGA INJ P/ 1 LAMP S/ GRADE ;235 BR;BRANCO ;12;CELULA ( 2 );MARINA;22,1958
275;236 PR TARTARUGA INJ P/ 1 LAMP C/ GRADE ;236 PR;PRETO;12;CELULA ( 2 );MARINA;21,6664
276;236 BR TARTARUGA INJ P/ 1 LAMP C/ GRADE ;236 BR;BRANCO ;12;CELULA ( 2 );MARINA;21,6664
278;237 PR ARANDELA INJ P/ 1 LAMP;237 PR;PRETO;8;CELULA ( 2 );DE VILLE;27,27
279;237 BR ARANDELA INJ P/ 1 LAMP ;237 BR;BRANCO ;8;CELULA ( 2 );DE VILLE;47,9313
301;271 BR/ ESC PENDENTE TIPO BACIA EM AL ;271 BR/ ESC;BRANCO/ ESCOVADO ;2;CELULA ( 4 );EVIDENCE;116,155
302;271 PR/ ESC PENDENTE TIPO BACIA EM AL;271 PR/ ESC;PRETO/ ESCOVADO;2;CELULA ( 4 );EVIDENCE;130,39
322;274/2 PR/ ESC PENDENTE TIPO SINO EM AL;274/2 PR/ ESC;PRETO/ ESCOVADO ;4;CELULA ( 4 );EVIDENCE;96,76
420;GL ESFER 10X20  TRANS;;SOPRADO;0;ROBERTO;NAO_INFORMADO;13,7896
421;GL ESFER 15X30 TRANS;;SOPRADO;0;ROBERTO;NAO_INFORMADO;23,4619
422;GL ESFER 10X20 LEITOSO;;SOPRADO;0;ROBERTO;NAO_INFORMADO;15,5144
423;GL ESFER 15X30 LEITO;;SOPRADO;0;ROBERTO;NAO_INFORMADO;26,396
501;ARRUELA INJ ABAULADA BR;;NYLON;0;ROBERTO;NAO_INFORMADO;5,8958
